process,model,elpd_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
DFLOOD,loo_fit_full_exp,0,-1384.875423451703,56.22383711421347,13.480416128189846,0.8859578941511886,2769.750846903406,112.44767422842693
DFLOOD,loo_fit_full_e_p,-2.90343054357686,-1387.7788539952799,56.35150450898817,12.62233428588843,0.8680828429029913,2775.5577079905597,112.70300901797634
DFLOOD,loo_fit_ws_only_reduced,-8.436388297763187,-1393.3118117494662,56.456663840794555,11.26442707317688,0.8102463843331315,2786.6236234989324,112.91332768158911
DFLOW,loo_fit_full_exp,0,-1655.7697827111283,58.58366273451148,16.409487866483786,1.0426834594083714,3311.5395654222566,117.16732546902296
DFLOW,loo_fit_full_e_p,-0.32285462818458655,-1656.092637339313,58.49709302245354,15.476247443828946,0.9932675653539909,3312.185274678626,116.99418604490708
DFLOW,loo_fit_ws_only_reduced,-3.76250188635413,-1659.5322845974824,58.52259934637175,13.69707720216414,0.9307340816185757,3319.064569194965,117.0451986927435
FST,loo_fit_full_e_p,0,-4055.783148553793,64.89178847223565,16.688182389528038,0.4957146474986832,8111.566297107586,129.7835769444713
FST,loo_fit_full_exp,-0.9269579362894547,-4056.7101064900826,64.88878450717907,17.616583430411467,0.5192066950111519,8113.420212980165,129.77756901435814
FST,loo_fit_ws_only_reduced,-46.536534799226956,-4102.31968335302,65.20089863232192,15.488276381827959,0.5113301764707486,8204.63936670604,130.40179726464385
